date,state,positive,negative,recovered,death,deathIncrease,negativeIncrease,positiveIncrease,total,posNeg,state_ch,state_en
3.16,MN,54,1839,0,0,0,452,19,1893,1893,明尼苏达州,Minnesota
3.16,MO,6,164,0,0,0,42,1,170,170,密苏里州,Missouri
3.16,MS,12,277,0,0,0,193,2,289,289,密西西比州,Mississippi
3.16,MT,7,198,0,0,0,95,0,205,205,蒙大拿州,Montana
3.16,NC,33,296,0,0,0,69,1,480,329,北卡罗来纳州,North Carolina
3.16,ND,1,123,0,0,0,28,0,124,124,北达科他州,North Dakota
3.16,NE,18,170,0,0,0,90,1,188,188,内布拉斯加州,Nebraska
3.16,NH,13,271,0,0,0,0,0,379,284,新罕布什尔州（新罕布夏州）,New Hampshire Hampshire
3.16,NJ,178,120,0,2,0,0,80,318,298,新泽西州,New Jersey
3.16,NM,17,566,0,0,0,84,4,583,583,新墨西哥州,New Mexico
3.16,NV,45,168,0,1,1,0,24,213,213,内华达州,Nevada
3.16,NY,950,4543,0,7,4,0,221,5493,5493,纽约州,New York
3.16,OH,50,140,0,0,0,1,14,551,190,俄亥俄州,Ohio
3.16,OK,10,174,0,0,0,56,1,213,184,俄克拉荷马州,Oklahoma
3.16,OR,39,579,0,0,0,159,3,800,618,俄勒冈州,Oregon
3.16,PA,76,670,0,0,0,465,13,746,746,宾夕法尼亚州,Pennsylvania
3.16,RI,21,308,0,0,0,37,1,478,329,罗得岛州（罗德岛州）,Rhode Island
3.16,SC,28,235,0,1,1,81,9,263,263,南卡罗来纳州,South Carolina
3.16,SD,10,494,0,0,0,167,1,504,504,南达科他州,South Dakota
3.16,TN,52,270,0,0,0,113,13,322,322,田纳西州,Tennessee
3.16,TX,57,0,0,0,0,0,1,57,57,得克萨斯州,Texas
3.16,UT,39,131,0,0,0,0,11,170,170,犹他州,Utah
3.16,VA,51,438,0,1,0,75,6,489,489,弗吉尼亚州,Virginia
3.16,VT,8,421,0,0,0,73,4,429,429,佛蒙特州,Vermont
3.16,WA,1067,22980,0,69,12,4608,128,24047,24047,华盛顿州,Washington
3.16,WI,47,504,0,0,0,191,14,551,551,威斯康辛州（威斯康星州）,Wisconsin
